"tratamiento","lote","siembra","circ.cm","peso.kg","brix"
"CropX","22-1","1",61,3.3,10
"CropX","22-1","1",61.5,3.96,11
"CropX","22-1","1",63.5,4.62,11
"CropX","22-1","1",63,4.54,11
"CropX","22-1","1",55,3.2,10
"CropX","22-1","1",59,3.8,9
"CropX","22-1","1",63,4.3,10
"CropX","22-1","1",70,5.85,11.5
"CropX","22-1","1",64,4.73,10.3
"CropX","22-1","1",58.5,3.47,9.5
"CropX","22-1","1",60.5,3.35,10
"CropX","22-1","1",66,5.14,10.5
"CropX","22-1","1",63,4.53,12
"CropX","22-1","1",55,2.94,10
"CropX","22-1","1",60,3.83,9
"CropX","22-1","2",60,3.48,10
"CropX","22-1","2",58.5,3.41,9
"CropX","22-1","2",60,4.06,11.3
"CropX","22-1","2",63,4.56,11.6
"CropX","22-1","2",63,4.36,10.7
"CropX","22-1","2",58,3.68,9
"CropX","22-1","2",60,3.88,9
"CropX","22-1","2",60,3.76,10.7
"CropX","22-1","2",65,4.61,10.9
"CropX","22-1","2",55,2.99,10.3
"CropX","22-1","2",67,5.12,10.7
"CropX","22-1","2",63,5.05,10.2
"CropX","22-1","2",65,4.7,11
"CropX","22-1","2",57,3.48,10.3
"CropX","22-1","2",58.5,3.53,10.3
"Testigo","22-2","1",58,3.56,11
"Testigo","22-2","1",59,3.51,10.6
"Testigo","22-2","1",59,3.595,10.2
"Testigo","22-2","1",60.5,3.82,11.2
"Testigo","22-2","1",66.5,5.34,11
"Testigo","22-2","1",58,3.395,10
"Testigo","22-2","1",57,3.32,9.4
"Testigo","22-2","1",62.6,4.595,10.4
"Testigo","22-2","1",59.8,3.77,11.2
"Testigo","22-2","1",64,4.68,10.8
"Testigo","22-2","1",65.2,4.67,11
"Testigo","22-2","1",62,4.545,11.2
"Testigo","22-2","1",63.6,4.835,10
"Testigo","22-2","1",58.4,4.025,10.8
"Testigo","22-2","1",64.4,4.765,11.6
"Testigo","22-2","2",56,3.06,10.2
"Testigo","22-2","2",55,2.98,9
"Testigo","22-2","2",52,2.6,8.6
"Testigo","22-2","2",54,2.68,9.3
"Testigo","22-2","2",57,3.44,9.6
"Testigo","22-2","2",52.5,2.55,9.8
"Testigo","22-2","2",55,3.09,8.6
"Testigo","22-2","2",59,3.65,8.7
"Testigo","22-2","2",55,2.8,9.6
"Testigo","22-2","2",57,3.3,10.1
"Testigo","22-2","2",56,3.23,10.2
"Testigo","22-2","2",48.5,2.3,9
"Testigo","22-2","2",49,2.24,8.9
"Testigo","22-2","2",53.5,2.66,8.2
"Testigo","22-2","2",50,2.48,8.7
